annotation_key,controller,uso_total,nginx_ingresses,kong_ingresses,valores_distintos,exemplos_de_valores,exemplos_de_ingresses
nginx.ingress.kubernetes.io/whitelist-source-range,nginx,173,149,0,53,"0.0.0.0/0; 0.0.0.0/0,
179.108.123.80/28,
45.235.52.24/29,
189.28.39.112/29
; 0.0.0.0/0,179.108.123.80/28,45.235.52.24/29,189.28.39.112/29; 0.0.0.0/0,::/0; 10.0.0.0/8",automation/automation-event-based-engine; connect/rd-albato; crm/kibana-crm
konghq.com/strip-path,kong,151,1,149,2,false; true,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/preserve-host,kong,146,0,145,2,false; true,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/protocols,kong,144,0,144,3,"grpc; http; http,https",account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/connect-timeout,kong,141,0,141,1,600000,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/https-redirect-status-code,kong,141,0,141,2,301; 426,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/path-handling,kong,141,0,141,1,v0,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/read-timeout,kong,141,0,141,1,600000,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/retries,kong,141,0,141,2,0; 5,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/write-timeout,kong,141,0,141,1,600000,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
konghq.com/request-buffering,kong,139,0,139,2,false; true,account-onboarding-service/account-onboarding-service-ingress; automation-api/automation-api-ingress; automation-external/automation-external-ingress
