controller,annotation,qtd_ingresses,pct_do_total,valores_distintos,valores_encontrados,exemplos_de_ingresses
kong,konghq.com/methods,2,0.3%,1,GET,platagen2520/flask-rota-simples | platagen2520/flask-service-argparse
nginx,nginx.ingress.kubernetes.io/compute-full-forwarded-for,1,0.2%,1,true,elasticsearch/kibana-es-cm-usc1-prd-midmarket-01
nginx,nginx.ingress.kubernetes.io/use-forwarded-headers,1,0.2%,1,true,elasticsearch/kibana-es-cm-usc1-prd-midmarket-01
nginx,nginx.ingress.kubernetes.io/affinity,1,0.2%,1,cookie,devexp/backstage
nginx,nginx.ingress.kubernetes.io/session-cookie-expires,1,0.2%,1,1h,devexp/backstage
nginx,nginx.ingress.kubernetes.io/session-cookie-max-age,1,0.2%,1,3600,devexp/backstage
nginx,nginx.ingress.kubernetes.io/session-cookie-name,1,0.2%,1,backstage_session,devexp/backstage
nginx,nginx.ingress.kubernetes.io/priority,1,0.2%,1,100,internaltools/oraculo-admin
nginx,nginx.ingress.kubernetes.io/proxy-hide-headers,1,0.2%,1,"X-Frame-Options, Content-Security-Policy",internaltools/oraculo-admin
nginx,nginx.ingress.kubernetes.io/proxy-intercept-errors,1,0.2%,1,false,internaltools/oraculo-admin
nginx,nginx.ingress.kubernetes.io/reload-ts,1,0.2%,1,1763131917,connect/rdpress-auth-rdops-systems
nginx,nginx.ingress.kubernetes.io/denylist-source-range,1,0.2%,1,179.190.144.219/32,rdsm/rdsm-web-webhook
nginx,nginx.ingress.kubernetes.io/canary,1,0.2%,1,true,crm/web-canary
nginx,nginx.ingress.kubernetes.io/canary-weight,1,0.2%,1,30,crm/web-canary
nginx,nginx.ingress.kubernetes.io/load-balance,1,0.2%,1,ewma,email/neek-api
nginx,nginx.ingress.kubernetes.io/mirror-request-body,1,0.2%,1,true,mirror-test/echo-ingress
nginx,nginx.ingress.kubernetes.io/mirror-target,1,0.2%,1,http://echo-mirror.mirror-test.svc.cluster.local$request_uri,mirror-test/echo-ingress
nginx,nginx.ingress.kubernetes.io/health-check-path,1,0.2%,1,/sidekiq/stats,rms/cap-hook
