cluster,namespace,ingress,spinnaker_app,chart,repo_chart,ingress_class,spinnaker_url,observacao,status_migracao
staging-234557,email,rd-chat-api-internal,rd-chat-api,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-chat-api/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,rd-chat-api-tallos,rd-chat-api,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-chat-api/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,rd-chat-bot,rd-chatbot,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-chatbot/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,email,rd-chat-hook,rd-chat-hook,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-chat-hook/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,rd-whatsapp-console,rd-whatsapp-console,rails-0.5.5.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-whatsapp-console/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,frontend,tangram-website,,,,sem-versão,,sem moniker spinnaker,sem moniker — não gerenciado pelo Spinnaker
staging-234557,fronthub,datadog-workshop,pocs-rogerio,,,sem-versão,https://spinnaker.rdops.systems/#/applications/pocs-rogerio/executions,sem acesso spinnaker,sem acesso ao Spinnaker
staging-234557,fronthub,front-hub-internal-rdops-systems,front-hub,front-hub-0.2.5.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/front-hub/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,fronthub,front-hub-rdos-systems,front-hub,front-hub-0.2.5.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/front-hub/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,fronthub,front-hub-staging.rdstation.com.br,front-hub,front-hub-0.2.5.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/front-hub/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,ai-platform-builder-app,ai-platform-builder,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/ai-platform-builder/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,ai-platform-builder,ai-platform-builder,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/ai-platform-builder/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,ai-platform-litellm,ai-platform,litellm-0.1.824.tgz,https://github.com/ResultadosDigitais/ai-helm,configurável,https://spinnaker.rdops.systems/#/applications/ai-platform/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,crm-mcp,crm-mcp,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/crm-mcp/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,executive-agent,executive-agent,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/executive-agent/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,inngest,ai-platform-inngest,inngest-0.1.1.tgz,https://github.com/ResultadosDigitais/ai-helm,configurável,https://spinnaker.rdops.systems/#/applications/ai-platform-inngest/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,inngest-public,ai-platform-inngest,inngest-0.1.1.tgz,https://github.com/ResultadosDigitais/ai-helm,configurável,https://spinnaker.rdops.systems/#/applications/ai-platform-inngest/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,insights-platform-api,insights-platform-api,rails-0.6.1.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/insights-platform-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,insights-platform-api-v2,insights-platform-api,rails-0.6.1.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/insights-platform-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,insights-platform-api-v2-v2,insights-platform-api,rails-0.6.1.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/insights-platform-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,marketing-copilot,marketing-copilot,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/marketing-copilot/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,marketing-copilot-public,marketing-copilot,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/marketing-copilot/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,marketing-mcp,marketing-mcp,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/marketing-mcp/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,rds-crm-copilot,rds-crm-copilot,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rds-crm-copilot/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,rds-crm-copilot-public,rds-crm-copilot,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rds-crm-copilot/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,rdsc-copilot,rdsc-copilot,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rdsc-copilot/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,insights,rudi-api,rudi-api,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rudi-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,kafka,dashboard-kafka-staging,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,kafka01,kafka-ui,,,,sem-versão,,sem dados no deploy_types,
staging-234557,leadgen,event-harbor,event-harbor,go-app-0.6.0.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/event-harbor/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
